year,norme,per_capita_transfert,median_salary_ratio_transfert,per_capita_personnel,median_salary_ratio_personnel,per_capita_biens_services,median_salary_ratio_biens_services,per_capita_subventions_redistribuer,median_salary_ratio_subventions_redistribuer,per_capita_amortissements,median_salary_ratio_amortissements,per_capita_autres,median_salary_ratio_autres
1993,mch1,2035.9562781233667,0.03465339525672942,3408.52159100794,0.05801541379030399,829.4924873143513,0.01411854042950625,181.09426625533135,0.003082350664748968,297.36492597649993,0.005061358353358182,1057.1578836797653,0.0179935641966191
1994,mch1,2095.6267798164677,0.03516624345241757,3420.659175324556,0.05740131519876084,839.8833176965086,0.01409389377259546,232.56670266811673,0.0039026497292944814,340.5458758208915,0.005714624040490192,1247.375356614829,0.020931926376272468
1995,mch1,2393.717442009924,0.03964158455898788,2649.1407575576413,0.04387156792457673,594.9797999574872,0.00985326907719739,278.2369472509516,0.004607792581659903,355.0775555156998,0.005880325177459258,1019.4217477066367,0.016882315641670587
1996,mch1,2463.381539933284,0.0402987426373067,2673.80571488968,0.04374109597712472,555.1252364065018,0.00908135774778337,313.9090749325216,0.005135274750237561,349.16368277858464,0.00571200894481391,1043.7750654722831,0.017075236642328934
1997,mch1,2631.093738948448,0.042840525904462155,2753.2132359539405,0.04482892464429368,553.749631841043,0.00901637410187969,350.70345675335847,0.005710294658612714,382.8766099199259,0.0062341508714329474,1114.6313375852021,0.018148875498000556
1998,mch1,2744.8658974565665,0.04439806381755575,2760.179493764384,0.04464576044520548,557.3004966777928,0.009014306687981897,339.3344570218744,0.005488717278433528,419.1289883842015,0.006779389693067441,1138.6550546243582,0.018417686571951964
1999,mch1,2770.2701861252117,0.04467024938927393,2806.8038455533124,0.045259349934747686,610.2452142824478,0.009840125359301597,375.46404905630794,0.006054309356558113,436.6297536078501,0.0070405984521389655,1295.4965529434444,0.020889714798494653
2000,mch1,2939.657059830059,0.046794922951767896,2882.746813960888,0.045888997356906845,605.556905620006,0.009639555963387551,433.78789688917465,0.006905251462737578,471.3843322326447,0.007503730217011217,1396.5586019143536,0.022231114325284202
2001,mch1,3231.138321716223,0.050207258401955106,2995.544630627356,0.04654647011354584,634.80550482161,0.009863967692547859,424.80899579275115,0.006600922925488706,433.3045058412568,0.006732930975219977,1383.0542999015727,0.021490681520007035
2002,mch1,3331.3695553188,0.050854392674464184,3074.3439607410346,0.04693081701076257,636.5224063554551,0.009716712559617988,430.66145545782746,0.006574181099374542,415.951857284137,0.006349634506993604,1353.345093967032,0.020659233894593516
2003,mch1,3404.9280325076666,0.051254335749453074,3193.857362396792,0.048077091799084655,656.0282367854054,0.009875184200165664,474.2342627034678,0.007138641960252104,431.2799583706849,0.006492051396475868,1469.3193033734374,0.022117643656271637
2004,mch1,3556.471245542209,0.05304682366121068,3203.461633775658,0.04778148132235036,657.1047375783462,0.009801096855473215,415.1182021807274,0.0061917278530625765,461.99847122405475,0.0068909741546455275,1394.9911481655704,0.020807099041906366
2005,mch1,3818.5395792965787,0.05642050205816458,2889.755989219273,0.042697340266242216,591.5176139036957,0.008739917463116071,550.6584261767603,0.008136206060531328,660.8006301562252,0.009763602691433587,1264.757871374988,0.018687320794547695
2006,mch1,3855.4646036264594,0.056297304532831896,2882.24496716814,0.04208639926359646,580.7243164672464,0.008479707909398492,552.1615861925518,0.008062636326624493,893.0657897333825,0.01304050274127362,1227.5889526295075,0.017925193514244313
2007,mch1,3890.8301265516075,0.05590273170332769,2916.6702414516717,0.041906181630052754,596.6650597908107,0.00857277384756912,562.657194491019,0.008084155093261767,1350.5171510707005,0.019403982055613514,1273.9536771161604,0.01830393214247357
2008,mch1,4375.998394547116,0.06161989403158606,2885.857340193482,0.040636720460086206,638.2983533307442,0.008988092166986936,580.9828652459696,0.008181013648276017,1274.834578681952,0.017951371221724008,1021.3946749848886,0.014382599343597058
2009,mch1,4883.469371884861,0.0673433362552383,3000.5951957718667,0.041378388159466414,664.4137147500294,0.009162305074053028,626.4798967615455,0.008639195443233846,1365.6350169818945,0.018832188992524333,887.7981587470364,0.012242789987685979
2010,mch1,4877.551008787351,0.06673166706051757,3078.049507820785,0.04211198910716337,666.7913692480835,0.009122631331036002,617.1262990467072,0.008443144243511017,836.5848989447553,0.011445642463535754,1380.6711210191793,0.018889497086126788
2011,mch1,5091.626055149876,0.06899222296951052,3112.8591659887384,0.042179663495782366,659.0130610717597,0.008929716274685091,608.3497298357312,0.008243221271486873,457.19980388352474,0.006195119293814698,1270.7814815795214,0.017219261268015193
2012,mch1,5413.241007820859,0.0727234269415452,3938.2352867305685,0.05290766949769693,672.4236532136208,0.009033581240443076,611.6463819521597,0.008217077515612872,470.9969622080877,0.006327542616584552,935.5460338561396,0.012568461951960605
2013,mch1,5520.555126318919,0.07403383658297016,4154.16500182291,0.05570975487907561,692.4447420548703,0.009286084406915437,624.4367995216038,0.008374058570990288,416.7508787637038,0.005588870276307582,1065.0818683011412,0.014283363752563314
2014,mch2,7053.896065247581,0.0944144992136147,3261.9279687013895,0.04366002742131638,1154.7351194184564,0.01545581860234576,638.1139196339802,0.008540982969723474,251.43481579201688,0.0033653872977837144,240.3659021352467,0.0032172328693549457
2015,mch2,7470.23822847516,0.09923798061102025,3017.7341104395196,0.04008892755246718,988.8055200867235,0.01313573409966953,725.1492224725308,0.009633206101181397,238.7499067357918,0.0031716603796135795,136.54507216314852,0.0018139257155421185
2016,mch2,7075.517347038423,0.09275231171724639,3016.1918483239983,0.03953898390650724,931.4359484022507,0.012210108914087497,718.8134410106765,0.009422859852795822,532.8761182703267,0.006985424443793282,111.0077202085314,0.0014551900819114282
2017,mch2,7031.557834032408,0.09239406383412709,3013.695337192088,0.039599696956692,958.8932676514129,0.012599774882416337,762.9116391065278,0.010024593176528537,330.23857118219905,0.004339306359484377,496.31624140214143,0.006521552630638881
2018,mch2,7483.240153343948,0.09862460004934298,3037.799432339951,0.040036367656965985,927.607434019611,0.012225307528330578,769.0438540320586,0.010135535004903507,439.2320424863965,0.0057888138869523495,177.74447480635266,0.002342565169570782
2019,mch2,7331.81390686873,0.09531739348503289,3074.092935337085,0.03996480675165217,985.739159334961,0.012815121676221541,781.7039902467225,0.010162558375542413,190.4178939396195,0.0024755316424807526,680.1563167917129,0.008842385813724816
2020,mch2,7977.402201128419,0.10244776032681485,3093.0495083036917,0.03972170221790327,879.1120786704281,0.011289773445708482,777.4701581381086,0.009984462913367603,166.85023958052253,0.002142731797150595,681.7502332025011,0.008755204104413895
2021,mch2,8246.779342497084,0.1043315032449912,3170.452099197211,0.04010996532560613,872.9686196954669,0.011044084556645248,1011.9158224734841,0.012801930854631396,192.37807051385548,0.0024338099098458513,907.7267941846661,0.011483816534900385
2022,mch2,7904.909666113379,0.09852564645170729,3213.3241425460797,0.04005040560556984,901.6430318575912,0.011237947849456465,770.8761788945715,0.009608088778723845,222.6683238504028,0.0027753056617110727,1004.0539930138866,0.012514383201389553
2023,mch2,8248.833509688611,0.10189783463890467,3254.4116258006884,0.04020174456221821,957.0287671200505,0.011822175698192144,785.618429415942,0.009704743915109473,257.26639254498684,0.0031780115691395746,522.2712541252959,0.006451616440919259
2024,mch2,8712.989376511103,0.10668269880143871,3380.284503668716,0.04138853589564007,1018.4456633078157,0.01246994886017014,763.993615803232,0.009354412966539721,297.28648892373815,0.003640005006902465,632.3565201011036,0.007742635420965613
